plant,usage,pkmt,model,od,optn,spd_spec,assy,component,cmp_description,brg_spec,ea,ay,dia_of_ball,num_of_ball,contact_angle,pcd
1842,1,MB0001,DBC 110S, MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,140101-00156A,"BEARING,ANGULAR BALL",7934CATADBBELP4U214,1,AY,17.462,30,15,199.924
1842,1,MB0001,DBC 110S, MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,140101-00157A,"BEARING,ANGULAR BALL",7932CTYNDBELP4U214,1,AY,17.462,27,15,189.924
1842,1,MB0001,DBC 110S, MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,140101-00401,"BEARING,ANGULAR BALL",7014UCDB,1,AY,11.906,21,15,90.017
1842,1,MB0001,DBC 110S, MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,140101-00437,"BEARING,ANGULAR CONTACT;BALL",7016CD/P4ATBTA,1,AY,14.288,20,15,102.5
1842,1,MB0001,DBC 110S, MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,P60003572,"BEARING,ANGULAR CONTACT",35TAC72CSUHPN7C,3,AY,,,,
1842,1,MB0001,DBC 110S, MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,R10806,"BEARING,BALL;RADIAL",6207ZZ-P5,2,AY,,,,
1842,1,MB0001,DBC 110S, MB1110 = 'V0520',620203-28810,MB1110V0520;SPD_22F3K_BTCT50_ABS_BO_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS,R10929,"BEARING,BALL;ANGULAR CONTACT",7209CDB P5,1,AY,12.7,13,15,64.943
1842,1,MB0001,DBC 110S, MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,140101-00156A,"BEARING,ANGULAR BALL",7934CATADBBELP4U214,1,AY,17.462,30,15,199.924
1842,1,MB0001,DBC 110S, MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,140101-00157A,"BEARING,ANGULAR BALL",7932CTYNDBELP4U214,1,AY,17.462,27,15,189.924
1842,1,MB0001,DBC 110S, MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,140101-00401,"BEARING,ANGULAR BALL",7014UCDB,1,AY,11.906,21,15,90.017
1842,1,MB0001,DBC 110S, MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,140101-00437,"BEARING,ANGULAR CONTACT;BALL",7016CD/P4ATBTA,1,AY,14.288,20,15,102.5
1842,1,MB0001,DBC 110S, MB1110 = 'V0530',620203-38776,MB1110V0530;SPD_22F3K_BTCT50_ABS_TSC_HBM,HEAD ASSY;SPINDLE_F3K_BTCT50_ABS_TSC,P60003572,"BEARING,ANGULAR CONTACT",35TAC72CSUHPN7C,3,AY,,,,
